id,participant_id,scale,item,item_id,item_type,version,condition,trial_index,response,reaction_time
333,30,IRQ,2,2,critical,,,905,5,4501.0
334,30,IRQ,19,19,critical,,,906,1,4257.0
335,30,IRQ,34,34,critical,,,907,1,7495.0
336,30,IRQ,3,3,critical,,,908,4,2952.0
337,30,IRQ,8,8,critical,,,909,5,9114.0
338,30,IRQ,1,1,critical,,,910,3,5521.0
339,30,IRQ,39,39,catch,,,911,1,4195.0
340,30,IRQ,14,14,critical,,,912,4,5976.0
341,30,IRQ,38,38,catch,,,913,5,5082.0
342,30,IRQ,27,27,critical,,,914,4,8370.0
343,30,IRQ,35,35,critical,,,915,2,7590.0
344,30,IRQ,13,13,critical,,,916,3,4842.0
345,30,IRQ,7,7,critical,,,917,4,7864.0
346,30,IRQ,25,25,critical,,,918,1,6514.0
347,30,IRQ,24,24,critical,,,919,1,6944.0
348,30,IRQ,37,37,catch,,,920,1,4011.0
349,30,IRQ,28,28,critical,,,921,4,5754.0
350,30,IRQ,22,22,critical,,,922,5,4433.0
351,30,IRQ,30,30,critical,,,923,3,11004.0
352,30,IRQ,16,16,critical,,,924,4,6230.0
353,30,IRQ,5,5,critical,,,925,5,4097.0
354,30,IRQ,26,26,critical,,,926,1,5854.0
355,30,IRQ,32,32,critical,,,927,5,6215.0
356,30,IRQ,33,33,critical,,,928,2,8785.0
357,30,IRQ,4,4,critical,,,929,2,6515.0
358,30,IRQ,15,15,critical,,,930,2,5275.0
359,30,IRQ,6,6,critical,,,931,4,4214.0
360,30,IRQ,31,31,critical,,,932,4,4190.0
361,30,IRQ,11,11,critical,,,933,4,14391.0
362,30,IRQ,17,17,critical,,,934,2,12346.0
363,30,IRQ,10,10,critical,,,935,2,6981.0
364,30,IRQ,20,20,critical,,,936,1,3667.0
365,30,IRQ,29,29,critical,,,937,4,4496.0
366,30,IRQ,12,12,critical,,,938,5,4541.0
367,32,IRQ,29,29,critical,,,900,2,23221.0
368,32,IRQ,18,18,critical,,,901,5,3377.0
369,32,IRQ,22,22,critical,,,902,5,3378.0
370,32,IRQ,19,19,critical,,,903,1,9987.0
371,32,IRQ,35,35,critical,,,904,4,4306.0
372,32,IRQ,26,26,critical,,,905,4,22393.0
373,32,IRQ,3,3,critical,,,906,2,5625.0
374,32,IRQ,33,33,critical,,,907,5,5971.0
375,32,IRQ,13,13,critical,,,908,4,6698.0
376,32,IRQ,32,32,critical,,,909,5,3618.0
377,32,IRQ,28,28,critical,,,910,3,5658.0
378,32,IRQ,1,1,critical,,,911,2,4995.0
379,32,IRQ,21,21,critical,,,912,5,2979.0
380,32,IRQ,6,6,critical,,,913,3,7443.0
381,32,IRQ,16,16,critical,,,914,5,4426.0
382,32,IRQ,10,10,critical,,,915,4,21858.0
383,32,IRQ,34,34,critical,,,916,2,28185.0
384,32,IRQ,36,36,critical,,,917,5,13035.0
385,32,IRQ,7,7,critical,,,918,2,12298.0
386,32,IRQ,31,31,critical,,,919,3,9202.0
387,32,IRQ,37,37,catch,,,920,1,5018.0
388,32,IRQ,9,9,critical,,,921,2,5740.0
389,32,IRQ,20,20,critical,,,922,3,8266.0
390,32,IRQ,23,23,critical,,,923,1,5203.0
391,32,IRQ,17,17,critical,,,924,5,5786.0
392,32,IRQ,8,8,critical,,,925,2,18139.0
393,32,IRQ,12,12,critical,,,926,5,4010.0
394,32,IRQ,4,4,critical,,,927,1,4138.0
395,32,IRQ,27,27,critical,,,928,5,2355.0
396,32,IRQ,39,39,catch,,,929,1,2146.0
397,32,IRQ,14,14,critical,,,930,5,2339.0
398,32,IRQ,38,38,catch,,,931,5,2010.0
399,32,IRQ,2,2,critical,,,932,5,4937.0
400,32,IRQ,11,11,critical,,,933,5,6074.0
401,32,IRQ,5,5,critical,,,934,4,7363.0
402,32,IRQ,30,30,critical,,,935,5,9176.0
403,32,IRQ,24,24,critical,,,936,1,5586.0
404,32,IRQ,25,25,critical,,,937,1,3842.0
405,32,IRQ,15,15,critical,,,938,4,11227.0
406,33,IRQ,4,4,critical,,,900,5,5691.0
407,33,IRQ,11,11,critical,,,901,5,5631.0
408,33,IRQ,5,5,critical,,,902,3,8068.0
409,33,IRQ,1,1,critical,,,903,5,6127.0
410,33,IRQ,12,12,critical,,,904,5,6617.0
411,33,IRQ,7,7,critical,,,905,5,4351.0
412,33,IRQ,32,32,critical,,,906,5,7443.0
413,33,IRQ,29,29,critical,,,907,3,6632.0
414,33,IRQ,36,36,critical,,,908,5,6250.0
415,33,IRQ,22,22,critical,,,909,5,8143.0
416,33,IRQ,17,17,critical,,,910,5,5871.0
417,33,IRQ,26,26,critical,,,911,5,6451.0
418,33,IRQ,6,6,critical,,,912,2,6706.0
419,33,IRQ,8,8,critical,,,913,3,8709.0
420,33,IRQ,3,3,critical,,,914,5,4926.0
421,33,IRQ,37,37,catch,,,915,1,6598.0
422,33,IRQ,34,34,critical,,,916,1,8671.0
423,33,IRQ,14,14,critical,,,917,4,4377.0
424,33,IRQ,23,23,critical,,,918,1,7051.0
425,33,IRQ,39,39,catch,,,919,1,3812.0
426,33,IRQ,2,2,critical,,,920,4,6801.0
427,33,IRQ,18,18,critical,,,921,5,6784.0
428,33,IRQ,27,27,critical,,,922,5,4573.0
429,33,IRQ,13,13,critical,,,923,5,4534.0
430,33,IRQ,16,16,critical,,,924,5,4070.0
431,33,IRQ,10,10,critical,,,925,1,6892.0
432,33,IRQ,20,20,critical,,,926,1,8082.0
433,33,IRQ,19,19,critical,,,927,5,6108.0
434,33,IRQ,35,35,critical,,,928,4,8715.0
435,33,IRQ,15,15,critical,,,929,4,5549.0
436,33,IRQ,21,21,critical,,,930,4,5800.0
437,33,IRQ,24,24,critical,,,931,1,6454.0
438,33,IRQ,33,33,critical,,,932,3,6888.0
